,Volatility,Weight
ITC IS Equity,0.1526766979905915,4.161717790567041
NEST IS Equity,0.15430570256322287,4.117782555522456
PIDI IS Equity,0.16338975878804846,3.0000000000000004
HUVR IS Equity,0.168950119441377,3.7608575379134224
DRRD IS Equity,0.17265117411445235,3.6802375280185693
BRIT IS Equity,0.17292600315497977,3.674388574533929
SUNP IS Equity,0.17321243150641794,3.6683125149070657
HDFCB IS Equity,0.17413285016274926,3.6489228174845594
ICICIBC IS Equity,0.17430534417381396,3.645311813267582
APHS IS Equity,0.17630314473477746,3.604004518401184
APNT IS Equity,0.17662441710636184,3.597448986058618
TCS IS Equity,0.18230456139031564,3.4853616683352455
SRCM IS Equity,0.1869469652144979,3.0000000000000004
MSIL IS Equity,0.18713334378041968,3.3954255152841415
KMB IS Equity,0.1930248949034781,3.2917895411895213
TTAN IS Equity,0.19473177822915255,3.2629360036180928
CIPLA IS Equity,0.19571702756367165,3.246510220097049
RELIANCE IS Equity,0.19644215465032044,3.234526374257723
BHARTI IS Equity,0.1972403498513166,3.2214368444968287
HDFCLIFE IS Equity,0.2001094859809405,3.1752484252195545
GRASIM IS Equity,0.20145578067907324,3.1540287803639053
ICICIGI IS Equity,0.20480145271792063,3.0000000000000004
TATACONS IS Equity,0.2067961414650018,3.0725782682942877
AXSB IS Equity,0.20896141481685296,3.040739989195509
UTCEM IS Equity,0.20950271491397043,3.032883514151086
SBILIFE IS Equity,0.2111818574416987,3.008768546360053
UNITDSPR IS Equity,0.2112454195718205,3.0000000000000004
INFO IS Equity,0.21497592675333732,2.955667361590345
HMCL IS Equity,0.21508683847529134,2.9541432415701663
EIM IS Equity,0.21842683034483507,2.9089710693020665
