,0
HDFCB IS Equity,2.3621144933292006
ICICIBC IS Equity,2.342916397539
RELIANCE IS Equity,1.3306016475469258
INFO IS Equity,0.5682045453547458
BHARTI IS Equity,2.3444089809760076
LT IS Equity,0.8236432968269909
AXSB IS Equity,1.0198825296667051
TCS IS Equity,0.43195352060110215
ITC IS Equity,0.7912611381170802
KMB IS Equity,2.3864697515778133
MM IS Equity,1.4754497788552963
SBIN IS Equity,0.6384883685208819
BAF IS Equity,3.1606947830330183
HUVR IS Equity,0.7552973406645058
SUNP IS Equity,0.9000207182921462
ETERNAL IS Equity,0.8536902192940129
MSIL IS Equity,1.603032497229009
HCLT IS Equity,0.7887735875165703
TTMT IS Equity,0.4849260583380338
NTPC IS Equity,0.5451065536044655
UTCEM IS Equity,1.6339810774621202
TTAN IS Equity,1.4730942586965914
BHE IS Equity,1.9058955690237867
PWGR IS Equity,0.5830540315407957
TATA IS Equity,0.9035706816041909
TRENT IS Equity,0.6856468643118381
ADSEZ IS Equity,0.9180464314879131
BJFIN IS Equity,2.300404347938145
JSTL IS Equity,1.1937080020531818
APNT IS Equity,0.45248299030870004
INFOE IS Equity,0.8617223955358623
BJAUT IS Equity,0.5272581619024482
DMART IS Equity,0.7714621269052694
GRASIM IS Equity,1.4939238481330117
INDIGO IS Equity,2.7859536017354793
HNAL IS Equity,1.3640459043608897
TECHM IS Equity,0.9567511829185961
SHFL IS Equity,1.782548722959798
HNDL IS Equity,0.7441980277943989
SRCM IS Equity,2.776241227370645
JIOFIN IS Equity,0.43952505566190264
CIPLA IS Equity,0.7731749257576328
MAXHEALT IS Equity,1.7568388534321615
NEST IS Equity,1.137654109319574
HDFCLIFE IS Equity,1.853067651975236
BSE IS Equity,3.5041285447369948
EIM IS Equity,1.577406783853899
SBILIFE IS Equity,1.7986750554639186
ADANI IS Equity,0.6419490344791206
WPRO IS Equity,0.6435537814856988
ADE IS Equity,0.5374191106034921
CIFC IS Equity,2.162196675165129
DRRD IS Equity,0.8443427486011406
COAL IS Equity,0.5460705841572311
SUEL IS Equity,1.3223914993107149
ONGC IS Equity,0.6050211002911257
DIVI IS Equity,2.2582255294422207
TATACONS IS Equity,1.9734791872364537
IH IS Equity,1.3352125480255306
TVSL IS Equity,2.020955136592835
VBL IS Equity,0.4768133822284412
APHS IS Equity,1.2629310118424475
TPWR IS Equity,0.642920746472022
BPCL IS Equity,0.861356461678609
VEDL IS Equity,0.6518958920522169
POLICYBZ IS Equity,1.1538838188455447
POWF IS Equity,0.5765915383686682
DIXON IS Equity,2.0817884047118946
BJHI IS Equity,2.3679939158640924
PSYS IS Equity,1.6220798580520304
BRIT IS Equity,1.4237416824012716
COFORGE IS Equity,2.0462015904698507
GCPL IS Equity,1.0496343181609522
GAIL IS Equity,0.6306495281767942
HMCL IS Equity,0.5009127784897565
RECL IS Equity,0.4655485124367266
INDUSTOW IS Equity,1.6745176545484486
IIB IS Equity,0.3931321636407693
LPC IS Equity,1.1954664791191143
DLFU IS Equity,0.5332116034150629
UNITDSPR IS Equity,1.6980577793601577
CGPOWER IS Equity,0.7879150730185195
ICICIGI IS Equity,0.8975544883944137
YES IS Equity,0.859322892423343
BOB IS Equity,0.6053546016017897
HDFCAMC IS Equity,1.3897224435403968
IDFCFB IS Equity,0.7734748105717525
MOTHERSO IS Equity,0.655990817832147
ADANIGR IS Equity,0.3989903091205468
PIDI IS Equity,0.8392032159684455
FB IS Equity,1.153603014658782
IOCL IS Equity,0.7044262421968551
AL IS Equity,1.1209085635075315
KKC IS Equity,0.5023919127682984
HPCL IS Equity,1.159342358968198
LODHA IS Equity,1.1046265947641198
JSP IS Equity,0.8608766109817277
ACEM IS Equity,0.6693290280807548
MAXF IS Equity,1.8097072031079633
AUBANK IS Equity,1.4801024784690495
LTIM IS Equity,0.5469553159514213
TRP IS Equity,1.4477080253308863
HAVL IS Equity,0.5290274696088442
CLGT IS Equity,0.6862230748531559
MRCO IS Equity,2.1434337708797733
SOIL IS Equity,2.5052979396073836
SUF IS Equity,1.319407171043374
FORH IS Equity,1.9227901089357102
MRF IS Equity,1.7174133356466237
UPLL IS Equity,2.352521944282911
SRF IS Equity,2.2948753510122373
DABUR IS Equity,0.49219661996693825
TIINDIA IS Equity,0.49818573683983236
PHNX IS Equity,0.8712471811061692
MCX IS Equity,1.8696649632691624
ARBP IS Equity,0.6325030047577278
APAT IS Equity,1.4066541103589683
BHFC IS Equity,0.5367253073811211
ABB IS Equity,0.42696272054803724
POLYCAB IS Equity,0.6081432924800536
ADANIENS IS Equity,0.6745756063043663
CBK IS Equity,0.8248887210893502
MANKIND IS Equity,1.0283454245645236
VOLT IS Equity,0.44791156099689794
CRIN IS Equity,4.248385998655438
GPL IS Equity,0.4615854079768406
SIEM IS Equity,0.5327476727592589
PI IS Equity,0.5661693240885809
MAZDOCKS IS Equity,3.3335179573586204
GMRAIRPO IS Equity,1.2883822588468217
IDEA IS Equity,0.5296967946511447
PAG IS Equity,1.722803523827842
BHEL IS Equity,0.7027085250324475
MPHL IS Equity,0.6701215725349438
TPW IS Equity,0.6389891766748074
JDSL IS Equity,0.614089484739514
JUBI IS Equity,1.7733857778030009
NHPC IS Equity,0.83699548911666
PAYTM IS Equity,2.5572217290215598
PNB IS Equity,0.5489825724120593
PLNG IS Equity,0.7965565377643573
GVTD IS Equity,1.2497468000062923
BRGR IS Equity,1.7907746777039604
IRFC IS Equity,0.5655835543720231
MUTH IS Equity,1.8031164805555973
SI IS Equity,0.39085496654653584
CDSL IS Equity,0.9395064183157378
